model,mean_residual,std_residual,median_residual,max_abs_residual,q90_abs_residual,q95_abs_residual,scenario
ols,-0.001128920099591267,2.8242366700300106,0.0833576329663277,12.96071703885643,4.308206859246421,5.406442168002918,normal
ridge,-0.0006316026207997302,2.8239198026995544,0.0871038187808324,12.949609801985204,4.306389642956064,5.414757962793063,normal
lasso,-0.0006347891413702911,2.82086580071607,0.08346601782208296,12.947979474568164,4.320296692970982,5.458313903892047,normal
random_forest,0.12462843629650967,2.5061464925686616,0.18389664807882244,8.16804355229634,3.981558970910381,5.033843713066737,normal
gradient_boosting,-0.030293919350658265,1.6312663282847943,-0.09353011014862123,6.26892085796921,2.5909717846429956,3.3005866573335343,normal
ols,0.03526081482191176,3.00394423986703,0.5329544860567204,11.617738270255986,4.637333965561729,6.041100279223063,t3
ridge,0.035794471769099036,3.0034777726207396,0.5341664416572041,11.605677501595723,4.63147550024032,6.033288639705001,t3
lasso,0.03699209335401462,3.0004924431709417,0.5499093226608078,11.55956960188807,4.637759376438461,6.02423706055287,t3
random_forest,0.10691264245841829,2.493910817592865,0.08253291779242833,8.215833061960524,3.943975494169493,4.662325896483508,t3
gradient_boosting,0.01583569398460208,1.8483578584516516,-0.02192117021378337,7.30629164830177,2.8251264175390958,3.9530565465174035,t3
ols,-0.6735572769476291,6.279344681607865,-0.49600414927465764,37.805127485001684,8.587168493871928,12.568689182440787,t1
ridge,-0.6730213892055036,6.276446729582921,-0.48664720392243055,37.786894435090176,8.574383691932532,12.55922237618025,t1
lasso,-0.6700960583723075,6.268489323427507,-0.47975771779392495,37.722079319567605,8.536165158871647,12.557991791465096,t1
random_forest,-0.7098872304418734,6.579949991980707,-0.7859579265360637,40.3113064228081,9.922442494185784,15.621655188258767,t1
gradient_boosting,-3.3241697934754555,16.99221060473663,-0.6203781748500763,199.07188099405695,12.666148681892368,19.288318457833565,t1
ols,-0.02779676982945558,3.6074298160133202,-0.46728025684231334,13.404658465022713,5.734061055728114,7.412985492241193,skewed
ridge,-0.027247978256654506,3.6071065062392567,-0.4651024362384666,13.393331837970187,5.732139644727986,7.405197733690589,skewed
lasso,-0.02561713853050236,3.603043025416863,-0.46193918186842176,13.389700690098003,5.740466248137164,7.339443108723876,skewed
random_forest,0.16367502001510256,3.399235450850707,-0.29527671811308753,14.945095184879627,5.581594391609798,6.996202122345528,skewed
gradient_boosting,-0.07505553977292365,2.9315499198916255,-0.35135398572413656,13.019518007833264,4.308915880779525,5.766713394731777,skewed
